,Unnamed: 0,customer_id,comunidad_autonoma,provincia,edad,genero,renta_bruta_media,tipo_servicio,tipo_facturacion,tarifa_id,coste_tarifa,tipo_venta,operador_portabilidad,num_ventas,alarma,energia,servicios_adicionales,cuota,meses_financiacion,financia
count,1575060.0,1575060.0,1575060,1575060,1575060,1575060,553668,1575060,1575060,1464769,1575060,1068590,165426,1068590,3685,23682,166335,1293407,1293407,1293407
unique,,,18,43,9,2,3,3,3,98,3,3,14,3,1,1,5,137989,15,1
top,,,ANDALUCIA,MADRID,40-50,masc,renta_media,MOBILE,POSTPAID,CONT003GR,coste_tarifa_media,UPSELL,VODAFONE,numero_ventas_baja,alarma,energia,HEBECUSTSVA,0,0,financia
freq,,,416100,232990,412794,935758,276138,1153692,1514968,113429,659880,773661,42934,460701,3685,23682,136783,417409,417409,1293407
mean,787529.5,6616444.477052937,,,,,,,,,,,,,,,,,,
std,454680.8018324504,2651524.780575501,,,,,,,,,,,,,,,,,,
min,0.0,10010.0,,,,,,,,,,,,,,,,,,
25%,393764.75,4887668.25,,,,,,,,,,,,,,,,,,
50%,787529.5,7460336.0,,,,,,,,,,,,,,,,,,
75%,1181294.25,8770685.75,,,,,,,,,,,,,,,,,,
max,1575059.0,10062209.0,,,,,,,,,,,,,,,,,,
