2023-09-05 18:42:14,355 INFO    MainThread:35712 [wandb_setup.py:_flush():76] Configure stats pid to 35712
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_setup.py:_flush():76] Loading settings from /Users/hugoromero/.config/wandb/settings
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_setup.py:_flush():76] Loading settings from /Users/hugoromero/Documents/GitHub/catedra-uc3m-sementacion/workspace/Genetics/wandb/settings
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'workspace/Genetics/main.py', 'program': '/Users/hugoromero/Documents/GitHub/catedra-uc3m-sementacion/workspace/Genetics/main.py'}
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_init.py:_log_setup():506] Logging user logs to /Users/hugoromero/Documents/GitHub/catedra-uc3m-sementacion/workspace/Genetics/wandb/run-20230905_184214-5a0szb6f/logs/debug.log
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/hugoromero/Documents/GitHub/catedra-uc3m-sementacion/workspace/Genetics/wandb/run-20230905_184214-5a0szb6f/logs/debug-internal.log
2023-09-05 18:42:14,356 INFO    MainThread:35712 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x18a5f5570>
2023-09-05 18:42:14,357 INFO    MainThread:35712 [wandb_init.py:init():546] calling init triggers
2023-09-05 18:42:14,357 INFO    MainThread:35712 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'consequent_value': 'alarma', 'fitness_function': 'composed_fitness_length_fitness', 'generation_size': 500, 'num_generations': 200, 'seed': 43, 'probability_of_zero': 0.5, 'mutation_probability': 0.005}
2023-09-05 18:42:14,358 INFO    MainThread:35712 [wandb_init.py:init():602] starting backend
2023-09-05 18:42:14,358 INFO    MainThread:35712 [wandb_init.py:init():606] setting up manager
2023-09-05 18:42:14,362 INFO    MainThread:35712 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-09-05 18:42:14,364 INFO    MainThread:35712 [wandb_init.py:init():613] backend started and connected
2023-09-05 18:42:14,368 INFO    MainThread:35712 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-09-05 18:42:14,368 INFO    MainThread:35712 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-09-05 18:42:14,368 INFO    MainThread:35712 [wandb_init.py:init():701] updated telemetry
2023-09-05 18:42:14,425 INFO    MainThread:35712 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-09-05 18:42:14,986 INFO    MainThread:35712 [wandb_run.py:_on_init():2133] communicating current version
2023-09-05 18:42:15,109 INFO    MainThread:35712 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.15.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-09-05 18:42:15,110 INFO    MainThread:35712 [wandb_init.py:init():789] starting run threads in backend
2023-09-05 18:42:22,744 INFO    MainThread:35712 [wandb_run.py:_console_start():2114] atexit reg
2023-09-05 18:42:22,744 INFO    MainThread:35712 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-09-05 18:42:22,744 INFO    MainThread:35712 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-09-05 18:42:22,744 INFO    MainThread:35712 [wandb_run.py:_redirect():2059] Redirects installed.
2023-09-05 18:42:22,745 INFO    MainThread:35712 [wandb_init.py:init():831] run started, returning control to user process
2023-09-05 18:44:49,116 INFO    MainThread:35712 [wandb_run.py:_finish():1854] finishing run 100386322/alarma/5a0szb6f
2023-09-05 18:44:49,117 INFO    MainThread:35712 [jupyter.py:save_history():445] not saving jupyter history
2023-09-05 18:44:49,117 INFO    MainThread:35712 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-05 18:44:49,117 INFO    MainThread:35712 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-09-05 18:44:49,117 INFO    MainThread:35712 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-09-05 18:44:49,117 INFO    MainThread:35712 [wandb_run.py:_restore():2066] restore
2023-09-05 18:44:49,117 INFO    MainThread:35712 [wandb_run.py:_restore():2072] restore done
2023-09-05 18:45:01,052 INFO    MainThread:35712 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-09-05 18:45:01,054 INFO    MainThread:35712 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-09-05 18:45:01,059 INFO    MainThread:35712 [wandb_run.py:_footer_sync_info():3380] logging synced files
